Date,ClarkSea Index $/day [SIN 60351]
1998-04-17,11703.45181
1998-04-24,11631.97422
1998-05-01,11778.07286
1998-05-08,11875.12385
1998-05-15,11990.18143
1998-05-22,11693.1722
1998-05-29,11592.85705
1998-06-05,11667.86585
1998-06-12,11725.92919
1998-06-19,11833.93894
1998-06-26,11765.27247
1998-07-03,11739.24877
1998-07-10,11732.06413
1998-07-17,11372.32031
1998-07-24,11327.15992
1998-07-31,11187.39107
1998-08-07,11029.73855
1998-08-14,10931.21468
1998-08-21,10818.53343
1998-08-28,10733.7334
1998-09-04,10434.10541
1998-09-11,9934.5346
1998-09-18,9824.87807
1998-09-25,9885.62903
1998-10-02,10073.50417
1998-10-09,10185.23833
1998-10-16,10695.87552
1998-10-23,10762.05292
1998-10-30,10603.79063
1998-11-06,10560.11287
1998-11-13,10467.01134
1998-11-20,10616.11526
1998-11-27,10552.50805
1998-12-04,10617.06361
1998-12-11,10628.16718
1998-12-18,10420.04028
1998-12-25,10372.17663
1999-01-01,9739.82669
1999-01-08,9720.15712
1999-01-15,9859.79966
1999-01-22,10127.84487
1999-01-29,10242.43735
1999-02-05,10153.52047
1999-02-12,9760.32801
1999-02-19,10209.49894
1999-02-26,10416.76025
1999-03-05,10428.52054
1999-03-12,9852.40714
1999-03-19,9673.99569
1999-03-26,9349.30825
1999-04-02,8874.70341
1999-04-09,8682.31795
1999-04-16,8995.2204
1999-04-23,8857.57983
1999-04-30,9056.6795
1999-05-07,9327.25617
1999-05-14,9367.32787
1999-05-21,9843.02269
1999-05-28,9917.74544
1999-06-04,9874.60089
1999-06-11,9677.902
1999-06-18,9887.38185
1999-06-25,10014.37557
1999-07-02,9992.9499
1999-07-09,10172.41026
1999-07-16,9986.0223
1999-07-23,9828.06967
1999-07-30,9455.72439
1999-08-06,9635.63909
1999-08-13,9562.31505
1999-08-20,9611.81646
1999-08-27,9704.5939
1999-09-03,9826.53962
1999-09-10,9803.15602
1999-09-17,9863.85713
1999-09-24,9962.55827
1999-10-01,9974.62868
1999-10-08,10016.07505
1999-10-15,10155.26642
1999-10-22,10151.29578
1999-10-29,10072.64805
1999-11-05,10081.40745
1999-11-12,9830.15762
1999-11-19,9791.50885
1999-11-26,9740.87272
1999-12-03,10307.24964
1999-12-10,10767.11275
1999-12-17,11155.93464
1999-12-24,11267.70437
1999-12-31,11259.5081
2000-01-07,11736.11704
2000-01-14,11647.54389
2000-01-21,11675.91691
2000-01-28,11812.64319
2000-02-04,12357.83712
2000-02-11,13080.21287
2000-02-18,13752.05234
2000-02-25,13780.50546
2000-03-03,13588.45193
2000-03-10,13630.46245
2000-03-17,13250.42202
2000-03-24,13448.19904
2000-03-31,13678.59152
2000-04-07,14006.27633
2000-04-14,14772.84128
2000-04-21,15117.73895
2000-04-28,15413.71638
2000-05-05,15588.00991
2000-05-12,15632.64177
2000-05-19,15717.48135
2000-05-26,15996.75873
2000-06-02,15836.85592
2000-06-09,15880.69068
2000-06-16,16188.77167
2000-06-23,16938.25081
2000-06-30,17018.9142
2000-07-07,17097.8084
2000-07-14,17467.55945
2000-07-21,18029.79272
2000-07-28,18302.67179
2000-08-04,18239.91198
2000-08-11,18415.30603
2000-08-18,18650.57618
2000-08-25,18095.08298
2000-09-01,17583.9103
2000-09-08,17773.97429
2000-09-15,18116.48532
2000-09-22,18669.40634
2000-09-29,18910.22734
2000-10-06,19078.80244
2000-10-13,18980.63191
2000-10-20,19622.75369
2000-10-27,19955.60159
2000-11-03,19991.63632
2000-11-10,20097.42438
2000-11-17,20292.96542
2000-11-24,20769.57367
2000-12-01,21584.20635
2000-12-08,21960.97779
2000-12-15,22471.77763
2000-12-22,22889.13662
2000-12-29,23098.70296
2001-01-05,24403.7782
2001-01-12,24205.37287
2001-01-19,23905.4699
2001-01-26,23239.49913
2001-02-02,22420.16826
2001-02-09,21801.84415
2001-02-16,21726.28908
2001-02-23,21308.51805
2001-03-02,21240.27003
2001-03-09,20940.94336
2001-03-16,20804.13768
2001-03-23,19823.22499
2001-03-30,19021.99886
2001-04-06,18366.31824
2001-04-13,18207.5008
2001-04-20,18212.47943
2001-04-27,17759.10662
2001-05-04,17334.18383
2001-05-11,17179.94247
2001-05-18,16961.60423
2001-05-25,17017.03695
2001-06-01,16748.06658
2001-06-08,16427.08266
2001-06-15,15908.19346
2001-06-22,14888.30057
2001-06-29,14677.33262
2001-07-06,14177.151
2001-07-13,14139.16431
2001-07-20,14008.18442
2001-07-27,13763.08237
2001-08-03,13080.3503
2001-08-10,12489.18957
2001-08-17,12027.45087
2001-08-24,12085.07904
2001-08-31,11739.02591
2001-09-07,11103.27857
2001-09-14,11105.85113
2001-09-21,11819.69032
2001-09-28,12044.59119
2001-10-05,11416.63606
2001-10-12,11580.14143
2001-10-19,10993.36396
2001-10-26,10527.7972
2001-11-02,10146.92065
2001-11-09,9692.52613
2001-11-16,9440.73286
2001-11-23,9335.91439
2001-11-30,9040.02306
2001-12-07,8878.18436
2001-12-14,9065.66867
2001-12-21,9191.38869
2001-12-28,9023.55966
2002-01-04,8939.51151
2002-01-11,8994.88534
2002-01-18,9170.78794
2002-01-25,9080.63514
2002-02-01,9103.07444
2002-02-08,9181.81119
2002-02-15,9088.97611
2002-02-22,9161.52058
2002-03-01,9607.05921
2002-03-08,9607.22385
2002-03-15,9580.97101
2002-03-22,9618.67564
2002-03-29,9605.99944
2002-04-05,9642.1689
2002-04-12,9808.76517
2002-04-19,9845.25924
2002-04-26,9767.30174
2002-05-03,9633.4548
2002-05-10,9774.51699
2002-05-17,10049.26142
2002-05-24,10053.67745
2002-05-31,9949.03254
2002-06-07,9887.25131
2002-06-14,9734.02682
2002-06-21,9628.52073
2002-06-28,9839.51157
2002-07-05,9882.98937
2002-07-12,9873.3686
2002-07-19,10179.87822
2002-07-26,10194.24098
2002-08-02,9765.46981
2002-08-09,9790.92286
2002-08-16,9928.78713
2002-08-23,10084.53538
2002-08-30,9983.75678
2002-09-06,10012.28776
2002-09-13,9880.96708
2002-09-20,10006.53023
2002-09-27,10203.14071
2002-10-04,10295.49282
2002-10-11,11055.13177
2002-10-18,11970.64686
2002-10-25,12610.60259
2002-11-01,12742.19854
2002-11-08,12819.38223
2002-11-15,13223.39734
2002-11-22,14023.63901
2002-11-29,14232.18684
2002-12-06,15249.05236
2002-12-13,16168.96598
2002-12-20,16820.72705
2002-12-27,15967.08209
2003-01-03,16320.6303
2003-01-10,17434.9459
2003-01-17,17718.90381
2003-01-24,17549.82879
2003-01-31,17110.88222
2003-02-07,16604.95567
2003-02-14,17433.95539
2003-02-21,18788.71916
2003-02-28,18484.43938
2003-03-07,19779.50834
2003-03-14,20929.06902
2003-03-21,21046.69799
2003-03-28,20047.20479
2003-04-04,18921.35128
2003-04-11,19133.89256
2003-04-18,19568.82689
2003-04-25,19227.37932
2003-05-02,18085.76401
2003-05-09,17832.95876
2003-05-16,18667.60587
2003-05-23,18377.84759
2003-05-30,18072.52173
2003-06-06,18215.248
2003-06-13,17862.95884
2003-06-20,17387.72309
2003-06-27,16218.79919
2003-07-04,15757.66405
2003-07-11,15950.68526
2003-07-18,16194.3437
2003-07-25,16820.24966
2003-08-01,16241.36994
2003-08-08,16431.58501
2003-08-15,16307.11229
2003-08-22,16018.28256
2003-08-29,16459.99701
2003-09-05,16511.09955
2003-09-12,17243.9411
2003-09-19,17558.05842
2003-09-26,17518.57847
2003-10-03,17582.40885
2003-10-10,18805.1189
2003-10-17,19930.05815
2003-10-24,20601.45403
2003-10-31,22039.82511
2003-11-07,23138.05581
2003-11-14,23480.21076
2003-11-21,23812.00731
2003-11-28,24387.78751
2003-12-05,25631.42409
2003-12-12,26695.13818
2003-12-19,27845.16418
2003-12-26,28694.96632
2004-01-02,29469.1956
2004-01-09,29497.98833
2004-01-16,32575.37813
2004-01-23,33198.58855
2004-01-30,33232.93616
2004-02-06,33689.92287
2004-02-13,33338.06917
2004-02-20,32619.87592
2004-02-27,31703.76019
2004-03-05,31309.29952
2004-03-12,32432.74445
2004-03-19,30695.77946
2004-03-26,29538.48316
2004-04-02,28387.48014
2004-04-09,26854.66009
2004-04-16,25869.15683
2004-04-23,25631.92268
2004-04-30,24597.41036
2004-05-07,23896.20199
2004-05-14,24230.54661
2004-05-21,24328.14538
2004-05-28,24881.03566
2004-06-04,24511.04263
2004-06-11,23911.69594
2004-06-18,23777.72585
2004-06-25,23523.36938
2004-07-02,24405.90906
2004-07-09,26411.13014
2004-07-16,26793.26316
2004-07-23,27027.48972
2004-07-30,26866.83175
2004-08-06,27094.90915
2004-08-13,27137.43558
2004-08-20,27339.99224
2004-08-27,27406.42234
2004-09-03,27461.10893
2004-09-10,27272.56431
2004-09-17,27813.30015
2004-09-24,29372.47568
2004-10-01,31631.7062
2004-10-08,34043.38956
2004-10-15,35593.56122
2004-10-22,38963.93433
2004-10-29,40951.2955
2004-11-05,41064.42494
2004-11-12,43275.3591
2004-11-19,43721.71935
2004-11-26,44513.2384
2004-12-03,44228.88628
2004-12-10,42364.81189
2004-12-17,39456.51212
2004-12-24,37502.9666
2004-12-31,34539.7957
2005-01-07,33522.97605
2005-01-14,33131.1853
2005-01-21,32356.05311
2005-01-28,32117.78177
