Date,Average Aframax c.2010-built Earnings $/day [SIN 531168]
2015-04-24,36277.69403
2015-05-01,32722.63155
2015-05-08,31397.00562
2015-05-15,29154.59108
2015-05-22,45038.74838
2015-05-29,41972.55871
2015-06-05,41727.88391
2015-06-12,54322.09793
2015-06-19,58131.79065
2015-06-26,60731.54479
2015-07-03,43525.02811
2015-07-10,32598.43305
2015-07-17,31106.10754
2015-07-24,32899.07104
2015-07-31,30946.2469
2015-08-07,31259.28563
2015-08-14,30417.14422
2015-08-21,28208.21919
2015-08-28,27487.06102
2015-09-04,25974.8828
2015-09-11,26508.7649
2015-09-18,24922.49083
2015-09-25,24227.50928
2015-10-02,25750.08318
2015-10-09,33007.77391
2015-10-16,33525.5557
2015-10-23,34927.73911
2015-10-30,37498.14543
2015-11-06,39025.4876
2015-11-13,42998.60628
2015-11-20,44621.3505
2015-11-27,42559.04709
2015-12-04,47694.22814
2015-12-11,45205.99416
2015-12-18,44706.67895
2015-12-25,43837.62801
2016-01-01,40452.9717
2016-01-08,34911.7939
2016-01-15,32513.43955
2016-01-22,29672.45483
2016-01-29,29273.28389
2016-02-05,26740.64334
2016-02-12,27284.10718
2016-02-19,25512.90831
2016-02-26,26352.45611
2016-03-04,24703.70072
2016-03-11,27417.41411
2016-03-18,34599.77401
2016-03-25,33127.1513
2016-04-01,31709.53038
2016-04-08,25686.74496
2016-04-15,24075.9145
2016-04-22,27259.77613
2016-04-29,24926.24555
2016-05-06,21858.71815
2016-05-13,21373.09918
2016-05-20,26219.58784
2016-05-27,21837.30474
2016-06-03,20371.74699
2016-06-10,20733.19482
2016-06-17,25849.174
2016-06-24,26375.1438
2016-07-01,21414.47501
2016-07-08,18354.65563
2016-07-15,15110.97098
2016-07-22,14245.05399
2016-07-29,13033.2307
2016-08-05,11303.4889
2016-08-12,9874.83661
2016-08-19,8514.71604
2016-08-26,8756.36133
2016-09-02,9673.62313
2016-09-09,12594.32019
2016-09-16,15590.90253
2016-09-23,15070.31734
2016-09-30,18830.18095
2016-10-07,13772.83459
2016-10-14,12648.90096
2016-10-21,15929.10489
2016-10-28,15832.77977
2016-11-04,16165.25386
2016-11-11,29921.48397
2016-11-18,35649.30948
2016-11-25,35166.23985
2016-12-02,35138.10499
2016-12-09,32177.45615
2016-12-16,24829.73877
2016-12-23,23967.13126
2016-12-30,22723.98915
2017-01-06,22383.49428
2017-01-13,24908.41395
2017-01-20,21781.06498
2017-01-27,20745.07263
2017-02-03,15794.79495
2017-02-10,13475.29142
2017-02-17,18221.77552
2017-02-24,17431.07205
2017-03-03,17699.78529
2017-03-10,17265.77035
2017-03-17,16061.94068
2017-03-24,18629.78204
2017-03-31,17282.58672
2017-04-07,15003.62144
2017-04-14,14381.43616
2017-04-21,15720.34067
2017-04-28,14216.88182
2017-05-05,14780.58981
2017-05-12,13263.64648
2017-05-19,17053.46933
2017-05-26,17432.22763
2017-06-02,12155.05216
2017-06-09,9795.47542
2017-06-16,11494.38226
2017-06-23,11103.41623
2017-06-30,7855.81692
2017-07-07,7314.87804
2017-07-14,7734.39063
2017-07-21,9043.67971
2017-07-28,7757.60965
2017-08-04,6668.65277
2017-08-11,5640.79488
2017-08-18,4356.16475
2017-08-25,6448.30235
2017-09-01,8126.7859
2017-09-08,11812.85986
2017-09-15,16920.23444
2017-09-22,15658.1056
2017-09-29,12607.7201
2017-10-06,14630.34236
2017-10-13,22578.28766
2017-10-20,20311.36012
2017-10-27,20936.52311
2017-11-03,15215.61875
2017-11-10,8563.82667
2017-11-17,10775.19387
2017-11-24,13703.45722
2017-12-01,10191.33084
2017-12-08,11163.85592
2017-12-15,12913.63579
2017-12-22,13166.7136
2017-12-29,11224.92347
2018-01-05,10190.87376
2018-01-12,11386.60423
2018-01-19,12709.89379
2018-01-26,11843.33265
2018-02-02,9788.57197
2018-02-09,8274.13848
2018-02-16,8891.34796
2018-02-23,9871.50771
2018-03-02,9826.1758
2018-03-09,9791.076
2018-03-16,9610.32962
2018-03-23,8421.80171
2018-03-30,7173.82228
2018-04-06,5856.97062
2018-04-13,7501.10247
2018-04-20,7024.55988
2018-04-27,7366.94539
2018-05-04,6627.60044
2018-05-11,6455.01688
2018-05-18,9544.29583
2018-05-25,18109.73258
2018-06-01,12529.75982
2018-06-08,9864.80701
2018-06-15,14101.52594
2018-06-22,12148.4384
2018-06-29,8473.99876
2018-07-06,9984.5114
2018-07-13,17250.34327
2018-07-20,14060.19583
2018-07-27,15866.95364
2018-08-03,12123.89827
2018-08-10,9616.46538
2018-08-17,14198.52459
2018-08-24,14693.99291
2018-08-31,13825.44362
2018-09-07,13725.86753
2018-09-14,12571.12359
2018-09-21,13908.584
2018-09-28,14477.69135
2018-10-05,12585.75767
2018-10-12,18433.93876
2018-10-19,26586.72793
2018-10-26,33627.9633
2018-11-02,31315.94536
2018-11-09,24078.43703
2018-11-16,26195.99205
2018-11-23,27824.67037
2018-11-30,33623.00373
2018-12-07,38660.43454
2018-12-14,48959.10007
2018-12-21,48066.74879
2018-12-28,41443.94523
2019-01-04,38322.28941
2019-01-11,32448.67943
2019-01-18,26443.3834
2019-01-25,26509.61841
2019-02-01,23566.24465
2019-02-08,19329.68001
2019-02-15,19751.76388
2019-02-22,20988.31948
2019-03-01,20251.69443
2019-03-08,18703.207
2019-03-15,19547.30174
2019-03-22,15601.4061
2019-03-29,13131.50893
2019-04-05,12596.1658
2019-04-12,10499.59158
2019-04-19,11911.9547
2019-04-26,11791.37484
2019-05-03,14774.50854
2019-05-10,20799.99541
2019-05-17,16664.98897
2019-05-24,16967.40622
2019-05-31,15346.65511
2019-06-07,14965.16017
2019-06-14,14803.65455
2019-06-21,14459.54014
2019-06-28,14686.28999
2019-07-05,13309.26326
2019-07-12,12040.14504
2019-07-19,11368.92786
2019-07-26,10406.29603
2019-08-02,8101.83014
2019-08-09,10917.20998
2019-08-16,11081.45945
2019-08-23,10517.76139
2019-08-30,12131.94678
2019-09-06,18203.46981
2019-09-13,19726.14711
2019-09-20,21039.09723
2019-09-27,32885.06258
2019-10-04,51265.30741
2019-10-11,58741.23211
2019-10-18,60181.05482
2019-10-25,41844.64603
2019-11-01,28054.80019
2019-11-08,21536.06282
2019-11-15,48681.81167
2019-11-22,54499.88128
