Date,Total Crude Tanker Demolition m.dwt [1989676],Total Product Tanker 10k+ Demolition m.dwt [39652]
2024-03-01,0.167,0.03295
2024-04-01,,0
2024-05-01,,0
2024-06-01,,0
2024-07-01,,0
2024-08-01,0.117,0
2024-09-01,0.125,0.03584
2024-10-01,0.171,0
2024-11-01,,0
2024-12-01,0.116,0.07731
2025-01-01,0.166,0.04461
2025-02-01,0.439,0.15713
2025-03-01,,0.17899
2025-04-01,0.124,0.07182
2025-05-01,,0.08812
2025-06-01,0.169,0.09927
2025-07-01,0.204,0
2025-08-01,0.116,0.22329
2025-09-01,0.107,0.10725
2025-10-01,0.574,0.04041
2025-11-01,0.497,0.40461
2025-12-01,,0.19413
2026-01-01,0.113,0.04617
2026-02-01,0.328,0.11007
2026-03-01,,0.16411
2026-04-01,0.328,0.05845
2026-05-01,,0.04479
2026-06-01,0.333,0.03735
2026-07-01,0.174,0.19055
2026-08-01,1.028,0.15416
