Date,Average Weighted Clean Product Tanker Earnings $/day [51067],Average MR Clean c.2010-built Earnings $/day [545055]
1995-04-21,10204.74203,
1995-04-28,10220.24772,
1995-05-05,10462.32079,
1995-05-12,10814.01859,
1995-05-19,11109.52885,
1995-05-26,13299.04076,
1995-06-02,13750.31288,
1995-06-09,14102.99344,
1995-06-16,13166.2068,
1995-06-23,12994.35196,
1995-06-30,13176.97546,
1995-07-07,13506.26198,
1995-07-14,13053.61037,
1995-07-21,13112.94182,
1995-07-28,12979.97361,
1995-08-04,13007.91949,
1995-08-11,12878.25696,
1995-08-18,12770.58072,
1995-08-25,12035.5849,
1995-09-01,11782.51306,
1995-09-08,11251.8612,
1995-09-15,11492.26503,
1995-09-22,11388.58154,
1995-09-29,11124.20101,
1995-10-06,11073.50162,
1995-10-13,11281.37132,
1995-10-20,12041.55766,
1995-10-27,12214.34172,
1995-11-03,12491.32885,
1995-11-10,12473.71943,
1995-11-17,12382.60809,
1995-11-24,12540.06273,
1995-12-01,12672.46395,
1995-12-08,12608.27608,
1995-12-15,13069.09609,
1995-12-22,14457.98144,
1995-12-29,13767.36792,
1996-01-05,14474.05721,
1996-01-12,14811.40554,
1996-01-19,14923.36817,
1996-01-26,15865.89391,
1996-02-02,15440.99778,
1996-02-09,14797.15153,
1996-02-16,14862.41386,
1996-02-23,15545.50884,
1996-03-01,15984.80205,
1996-03-08,15488.0216,
1996-03-15,15029.72904,
1996-03-22,15404.77183,
1996-03-29,15233.9831,
1996-04-05,14921.12927,
1996-04-12,14198.65494,
1996-04-19,13846.1729,
1996-04-26,12735.93381,
1996-05-03,12969.61262,
1996-05-10,12331.64758,
1996-05-17,13048.91398,
1996-05-24,14321.02703,
1996-05-31,14483.79813,
1996-06-07,14409.33629,
1996-06-14,13951.41883,
1996-06-21,13531.90949,
1996-06-28,12853.57994,
1996-07-05,12392.62647,
1996-07-12,12452.88783,
1996-07-19,12267.79564,
1996-07-26,11511.37411,
1996-08-02,10685.33551,
1996-08-09,10082.45175,
1996-08-16,10058.27197,
1996-08-23,10539.73431,
1996-08-30,9682.12646,
1996-09-06,9401.50438,
1996-09-13,9919.16772,
1996-09-20,10133.39506,
1996-09-27,10003.85291,
1996-10-04,10981.71546,
1996-10-11,11819.04056,
1996-10-18,12454.35486,
1996-10-25,13087.82695,
1996-11-01,12324.55456,
1996-11-08,13287.1831,
1996-11-15,11872.92783,
1996-11-22,11206.35813,
1996-11-29,11166.64548,
1996-12-06,12278.79484,
1996-12-13,14753.69388,
1996-12-20,15967.78679,
1996-12-27,16804.82281,
1997-01-03,20398.12268,
1997-01-10,20877.80963,
1997-01-17,24813.2195,
1997-01-24,24360.24433,
1997-01-31,21620.77142,
1997-02-07,20846.41552,
1997-02-14,20357.35222,
1997-02-21,20026.73649,
1997-02-28,19671.18214,
1997-03-07,19001.03673,
1997-03-14,18780.57759,
1997-03-21,19123.95383,
1997-03-28,18935.15725,
1997-04-04,18451.67898,
1997-04-11,17296.99863,
1997-04-18,16888.46363,
1997-04-25,16426.73797,
1997-05-02,16587.978,
1997-05-09,17077.21858,
1997-05-16,17123.85228,
1997-05-23,17270.86704,
1997-05-30,16669.52418,
1997-06-06,15887.93712,
1997-06-13,15621.59645,
1997-06-20,14900.04653,
1997-06-27,14174.77402,
1997-07-04,13780.12484,
1997-07-11,13099.87122,
1997-07-18,13060.17697,
1997-07-25,12460.07161,
1997-08-01,12567.95433,
1997-08-08,12850.29265,
1997-08-15,12966.62442,
1997-08-22,12603.95787,
1997-08-29,13801.68645,
1997-09-05,13700.15461,
1997-09-12,13408.17992,
1997-09-19,13159.26212,
1997-09-26,13293.99823,
1997-10-03,12852.64583,
1997-10-10,12617.78706,
1997-10-17,11994.84279,
1997-10-24,11571.09225,
1997-10-31,11146.1935,
1997-11-07,10992.87766,
1997-11-14,11500.47681,
1997-11-21,12516.51448,
1997-11-28,13573.41716,
1997-12-05,14089.89987,
1997-12-12,14255.59717,
1997-12-19,13936.3147,
1997-12-26,13841.08335,
1998-01-02,13265.4388,
1998-01-09,12146.61519,
1998-01-16,12695.74,
1998-01-23,13097.61925,
1998-01-30,12778.22299,
1998-02-06,13166.01475,
1998-02-13,13509.27511,
1998-02-20,13967.49109,
1998-02-27,13821.65929,
1998-03-06,13358.27548,
1998-03-13,12346.04348,
1998-03-20,12012.35222,
1998-03-27,11721.93334,
1998-04-03,11973.10974,
1998-04-10,11326.02998,
1998-04-17,10879.45618,
1998-04-24,10867.01383,
1998-05-01,11612.07416,
1998-05-08,11293.37172,
1998-05-15,11512.50362,
1998-05-22,11977.03527,
1998-05-29,12567.3342,
1998-06-05,11520.17245,
1998-06-12,11408.37371,
1998-06-19,12011.64472,
1998-06-26,12788.44877,
1998-07-03,12899.35076,
1998-07-10,12777.21669,
1998-07-17,12429.15493,
1998-07-24,12188.2381,
1998-07-31,12303.68519,
1998-08-07,12394.17872,
1998-08-14,12489.8227,
1998-08-21,12762.18234,
1998-08-28,12531.31207,
1998-09-04,12251.27676,
1998-09-11,11449.81176,
1998-09-18,11309.27128,
1998-09-25,10869.15297,
1998-10-02,11029.15069,
1998-10-09,11195.02298,
1998-10-16,11754.17445,
1998-10-23,11555.95195,
1998-10-30,11768.90235,
1998-11-06,12415.98739,
1998-11-13,12920.61372,
1998-11-20,13943.30466,
1998-11-27,14825.35462,
1998-12-04,15343.40441,
1998-12-11,15022.59012,
1998-12-18,15312.8443,
1998-12-25,14682.78473,
1999-01-01,12403.69082,
1999-01-08,12160.13588,
1999-01-15,11756.50278,
1999-01-22,11490.46519,
1999-01-29,11724.9672,
1999-02-05,11174.12026,
1999-02-12,10998.04489,
1999-02-19,10838.14763,
1999-02-26,10971.48965,
1999-03-05,11504.86923,
1999-03-12,10939.16864,
1999-03-19,10643.25688,
1999-03-26,10511.16079,
1999-04-02,9908.10086,
1999-04-09,9783.75425,
1999-04-16,9653.72453,
1999-04-23,9978.55892,
1999-04-30,10275.36027,
1999-05-07,10357.73226,
1999-05-14,10569.31734,
1999-05-21,11077.49359,
1999-05-28,11453.67346,
1999-06-04,11186.83248,
1999-06-11,10913.83451,
1999-06-18,10651.49699,
1999-06-25,10574.1401,
1999-07-02,10273.24117,
1999-07-09,10143.35328,
1999-07-16,10194.54355,
1999-07-23,10287.07285,
1999-07-30,10340.13883,
1999-08-06,9712.67765,
1999-08-13,9253.87624,
1999-08-20,9204.87198,
1999-08-27,9096.87207,
1999-09-03,9225.0338,
1999-09-10,8987.48187,
1999-09-17,9291.44967,
1999-09-24,9394.74762,
1999-10-01,8997.58979,
1999-10-08,8781.89857,
1999-10-15,8270.80801,
1999-10-22,8114.99937,
1999-10-29,7921.67015,
1999-11-05,7524.6081,
1999-11-12,7080.37612,
1999-11-19,7537.0852,
1999-11-26,7539.1061,
1999-12-03,7698.35724,
1999-12-10,8112.90149,
1999-12-17,8509.5964,
1999-12-24,8991.93291,
1999-12-31,9398.88634,
2000-01-07,9933.65854,
2000-01-14,10087.5044,
2000-01-21,10190.96389,
2000-01-28,11848.59497,
2000-02-04,12635.43039,
2000-02-11,13136.28354,
2000-02-18,13406.76935,
2000-02-25,13596.13887,
2000-03-03,12963.22491,
2000-03-10,12528.86392,
2000-03-17,13489.41648,
2000-03-24,13962.2708,
